ID,NewName,Name
1,alessioporus-rubriflavus,boletus-speciosus
2,aureoboletus-abruptibulbus,boletus-auriporus
3,aureoboletus-auriflammeus,boletus-auriflammeus
4,aureoboletus-auriporus,boletus-auriporus
5,aureoboletus-citriniporus,
6,aureoboletus-flaviporus,boletus-flaviporus
7,aureoboletus-gentilis,boletus-carminiporus
8,aureoboletus-innixus,boletus-innixus
9,aureoboletus-mirabilis,boletus-mirabilis
10,aureoboletus-projectellus,boletus-projectellus
11,aureoboletus-roxanae,boletus-roxanae
12,aureoboletus-russellii,boletellus-russellii
13,austroboletus-gracilis,austroboletus-gracilis
14,austroboletus-subflavidus,austroboletus-subflavidus
15,baorangia-bicolor,boletus-bicolor
16,baorangia-rufomaculata,boletus-rufomaculatus
17,boletellus-ananas,boletellus-ananas
18,boletellus-betula,austroboletus-betula
19,boletellus-chrysenteroides,boletellus-chrysenteroides
20,boletellus-pseudochrysenteroides,boletellus-pseudochrysenteroides
