OldID,NewID,NewName
1,0,alessioporus-rubriflavus
3,1,aureoboletus-auriflammeus
4,2,aureoboletus-auriporus
6,3,aureoboletus-flaviporus
8,4,aureoboletus-innixus
9,5,aureoboletus-mirabilis
10,6,aureoboletus-projectellus
11,7,aureoboletus-roxanae
12,8,aureoboletus-russellii
13,9,austroboletus-gracilis
14,10,austroboletus-subflavidus
15,11,baorangia-bicolor
16,12,baorangia-rufomaculata
17,13,boletellus-ananas
18,14,boletellus-betula
19,15,boletellus-chrysenteroides
20,16,boletellus-pseudochrysenteroides
21,17,boletinellus-merulioides
24,18,boletus-alutaceus
25,19,boletus-atkinsonii
29,20,boletus-auripes
30,21,boletus-barrowsii
31,22,boletus-billieae
32,23,boletus-carminiporus
33,24,boletus-chippewaensis
35,25,boletus-curtisii
36,26,boletus-discolor
37,27,boletus-durhamensis
38,28,boletus-edulis
41,29,boletus-fibrillosus
43,30,boletus-gertrudiae
44,31,boletus-holoxanthus
45,32,boletus-huronensis
46,33,boletus-luridellus
48,34,boletus-miniato
50,35,boletus-nobilissimus
52,36,boletus-oliveisporus
53,37,boletus-patrioticus
55,38,boletus-pseudopinophilus
57,39,boletus-regineus
59,40,boletus-rex
60,41,boletus-roodyi
61,42,boletus-rubriceps
64,43,boletus-sensibilis
65,44,boletus-separans
67,45,boletus-speciosus
69,46,boletus-subcaerulescens
70,47,boletus-subfraternus
72,48,boletus-subluridellus
74,49,boletus-subvelutipes
75,50,boletus-variipes
76,51,boletus-vermiculosoides
77,52,boletus-vermiculosus
78,53,boletus-weberi
79,54,bothia-castanella
80,55,buchwaldoboletus-hemichrysus
84,56,butyriboletus-brunneus
85,57,butyriboletus-floridanus
86,58,butyriboletus-frostii
87,59,butyriboletus-peckii
88,60,butyriboletus-persolidus
90,61,butyriboletus-querciregius
91,62,butyriboletus-roseopurpureus
92,63,butyriboletus-taughannockensis
94,64,caloboletus-conifericola
95,65,caloboletus-firmus
96,66,caloboletus-frustosus
97,67,caloboletus-inedulis
98,68,caloboletus-roseipes
99,69,caloboletus-rubripes
100,70,chalciporus-piperatoides
101,71,chalciporus-piperatus
102,72,chalciporus-pseudorubinellus
103,73,chalciporus-rubinellus
105,74,cyanoboletus-pulverulentus
107,75,fistuinella-jamaicensis
110,76,gyroporus-castaneus
111,77,gyroporus-cyanescens
113,78,gyroporus-purpurinus
114,79,gyroporus-subalbellus
115,80,harrya-chromapes
117,81,hortiboletus-campestris
118,82,hortiboletus-rubellus
119,83,imleria-badia
120,84,imleria-pallida
122,85,lanmaoa-carminipes
123,86,lanmaoa-pallidorosea
124,87,lanmaoa-pseudosensibilis
125,88,leccinellum-albellum
126,89,leccinellum-crocipodium
128,90,leccinellum-quercophilum
131,91,leccinum-arenicola
139,92,leccinum-holopus
140,93,leccinum-insigne
143,94,leccinum-longicurvipes
145,95,leccinum-manzanitae
149,96,leccinum-roseoscabrum
150,97,leccinum-rubropunctum
151,98,leccinum-rugosiceps
152,99,leccinum-scabrum
153,100,leccinum-snellii
156,101,leccinum-subtestaceum
157,102,leccinum-variicolor
160,103,neoboletus-pseudosulphureus
161,104,paragyrodon-sphaerosporus
162,105,phylloporopsis-boletinoides
163,106,phylloporus-arenicola
165,107,phylloporus-rhodoxanthus
167,108,porphyrellus-porphyrosporus
168,109,porphyrellus-sordidus
169,110,pseudoboletus-parasiticus
171,111,pulchroboletus-rubricitrinus
173,112,pulveroboletus-ravenelii
174,113,retiboletus-griseus
177,114,rubroboletus-dupainii
179,115,rubroboletus-haematinus
180,116,rubroboletus-pulcherrimus
181,117,rubroboletus-rhodosanguineus
185,118,suillellus-amygdalinus
186,119,suillellus-hypocarycinus
188,120,suillus-acidus
191,121,suillus-ampliporus
194,122,suillus-brevipes
196,123,suillus-caerulescens
197,124,suillus-clintonianus
198,125,suillus-cothurnatus
199,126,suillus-decipiens
203,127,suillus-glandulosipes
206,128,suillus-hirtellus
207,129,suillus-kaibabensis
208,130,suillus-lakei
209,131,suillus-luteus
213,132,suillus-paluster
214,133,suillus-placidus
216,134,suillus-pseudobrevipes
218,135,suillus-punctipes
219,136,suillus-pungens
220,137,suillus-salmonicolor
221,138,suillus-spectabilis
222,139,suillus-spraguei
224,140,suillus-subaureus
226,141,suillus-tomentosus
227,142,suillus-weaverae
228,143,sutorius-eximius
230,144,tylopilus-alboater
231,145,tylopilus-atronicotianus
232,146,tylopilus-badiceps
233,147,tylopilus-balloui
234,148,tylopilus-felleus
236,149,tylopilus-griseocarneus
238,150,tylopilus-indecisus
240,151,tylopilus-minor
241,152,tylopilus-peralbidus
242,153,tylopilus-plumbeoviolaceus
243,154,tylopilus-rhoadsiae
244,155,tylopilus-rhodoconius
245,156,tylopilus-rubrobrunneus
246,157,tylopilus-tabacinus
247,158,tylopilus-variobrunneus
248,159,tylopilus-violatinctus
250,160,veloporphyrellus-conicus
251,161,xanthoconium-affine
252,162,xanthoconium-purpureum
253,163,xanthoconium-stramineum
254,164,xerocomellus-chrysenteron
256,165,xerocomellus-dryophilus
260,166,xerocomellus-zelleri
261,167,xerocomus-ferrugineus
262,168,xerocomus-hortonii
263,169,xerocomus-illudens
265,170,xerocomus-sclerotiorum
267,171,xerocomus-tenax
