h,w,fileName
320,240,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-opened-old-faded-and-cracked-Dave-Wasilewski.jpg
4318,3091,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-var-borealis-Walt-Sturgeon.jpg
6000,4000,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-var-subreticulatus-Closeup-NEMF-CONN-U-8-1-2015-JP3.jpg
5600,3733,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-var-subreticulatus-NEMF-CONN-U-8-1-2015-JP3.jpg
320,240,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-var-subreticulatus-Walt-Sturgeon.jpg
320,240,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-var-subreticulatus-cap-Walt-Sturgeon.jpg
320,240,/home/echo/bolete/data/lanmaoa-borealis/Boletus-bicolor-var-subreticulatus-split-Walt-Sturgeon.jpg
1500,1125,/home/echo/bolete/data/lanmaoa-borealis/boletus-bicolor-var-subreticulatus-bolet-bicolore_2117211107_o.jpg
4620,3120,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-array-Robert-Gergulics.jpg
3500,3358,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-bluing-Robert-Gergulics.jpg
320,237,/home/echo/bolete/data/austroboletus-gracilis/Austroboletus-gracilis-yellower-pore-view-Walt-Sturgeon.jpg
3500,3275,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-bluing-over-time-Robert-Gergulics.jpg
3463,3500,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-chemical-tests-cap-and-pores-Robert-Gergulics.jpg
3500,3259,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-chemical-tests-stipe-Robert-Gergulics.jpg
3500,2336,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-pores-Robert-Gergulics.jpg
2186,1414,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-spore-microscopy-Robert-Gergulics.jpg
2336,3500,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-Carminipes-stem-Robert-Gergulics.jpg
4000,3000,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-carminipes-Bill-Yule.jpg
2731,1918,/home/echo/bolete/data/lanmaoa-carminipes/Lanmaoa-carminipes-array-Bill-Yule.jpg
